Model_ID,AUC-ROC (Max),DPD (Min),Complexity (Min),n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,min_child_weight,reg_alpha,reg_lambda
Model_1,0.7452,0.2909,1032,172,0.0912,6,0.6989,0.6206,0.1239,10,0.0116,0.0
Model_2,0.7443,0.3002,552,92,0.059,6,0.843,0.6682,0.0325,10,0.0011,0.0
Model_3,0.7441,0.3247,33,11,0.1916,3,0.8916,0.8473,0.0409,1,0.0,0.0005
Model_4,0.7436,0.3095,224,56,0.1845,4,0.9568,0.8525,0.3974,6,0.0004,0.0001
Model_5,0.7433,0.2892,650,130,0.0383,5,0.7315,0.869,0.3762,6,0.0,0.0008
Model_6,0.7432,0.3195,92,23,0.1916,4,0.8916,0.7413,0.1886,8,0.1346,0.0005
Model_7,0.7432,0.2947,340,68,0.0134,5,0.7761,0.9551,0.1755,2,0.1882,0.0124
Model_8,0.7431,0.0106,66,11,0.0105,6,0.7802,0.929,0.3762,8,0.0,0.0
Model_9,0.742,0.3141,33,11,0.1916,3,0.8916,0.8473,0.0409,5,0.0,0.0005
Model_10,0.7417,0.2557,44,11,0.0464,4,0.7802,0.7875,0.0764,8,0.0,0.0
Model_11,0.7409,0.2917,33,11,0.087,3,0.8442,0.8034,0.4538,4,0.0,0.0514
Model_12,0.7408,0.0,44,11,0.0103,4,0.8581,0.7596,0.134,8,0.0172,0.0
Model_13,0.7401,0.2176,33,11,0.0383,3,0.8463,0.757,0.3762,1,0.3118,0.0
Model_14,0.7398,0.0156,33,11,0.016,3,0.8581,0.8034,0.1188,4,0.0,0.007
Model_15,0.7392,0.2732,22,11,0.1916,2,0.9303,0.828,0.3762,4,0.0004,0.0
Model_16,0.7386,0.2552,22,11,0.1151,2,0.8581,0.9469,0.0325,8,0.0046,0.0005
Model_17,0.7379,0.2218,26,13,0.059,2,0.8916,0.8034,0.2718,4,0.531,0.007
Model_18,0.7349,0.2088,22,11,0.0383,2,0.8463,0.757,0.3762,1,0.3118,0.0
Model_19,0.734,0.0,22,11,0.017,2,0.8463,0.7875,0.0764,8,0.0096,0.0803
